Alberta Offspring ID,Sex,Mates,Offspring,Num.Rubs,Num.Occasion
SA3173,M,0,0,-0.605700587,-0.496790796
SA11261,M,0,0,-0.605700587,-0.757960814
SA10110,M,0,0,-0.605700587,-0.757960814
SA11641,M,0,0,-0.605700587,-0.757960814
SA980,M,0,0,-0.605700587,-0.757960814
SA995,M,0,0,-0.605700587,-0.757960814
SA3677,M,0,0,-0.605700587,-0.496790796
SA14487,M,0,0,-0.605700587,-0.757960814
SA13086,M,0,0,-0.605700587,-0.757960814
SA6790,M,0,0,-0.605700587,-0.757960814
SA4752,M,0,0,-0.605700587,-0.757960814
SA11607,M,0,0,-0.605700587,-0.757960814
SA15922,M,0,0,-0.605700587,-0.757960814
SA9227,M,0,0,-0.605700587,-0.496790796
SA15291,M,0,0,-0.605700587,-0.757960814
9583,M,0,0,-0.605700587,-0.757960814
11805,M,0,0,-0.605700587,-0.496790796
MOE4,M,0,0,-0.605700587,-0.757960814
644,M,0,0,-0.605700587,-0.757960814
11695,M,0,0,-0.605700587,-0.757960814
SAR1187,M,0,0,-0.605700587,-0.757960814
SAR1074,M,0,0,-0.502887942,-0.496790796
SA537,M,0,0,-0.502887942,-0.757960814
SA10731,M,0,0,-0.502887942,-0.235620777
SAR745,M,0,0,-0.502887942,-0.496790796
SAR119,M,0,0,-0.502887942,-0.496790796
SA348,M,0,0,-0.502887942,-0.496790796
SAR3222,M,0,0,-0.502887942,-0.496790796
SA564,M,0,0,-0.502887942,-0.235620777
SAR247,M,0,0,-0.502887942,-0.757960814
SA4476,M,0,0,-0.502887942,-0.757960814
SA4387,M,0,0,-0.400075296,-0.235620777
9698,M,0,0,-0.400075296,-0.235620777
SA9803,M,0,0,-0.400075296,-0.235620777
148,M,0,0,-0.400075296,-0.235620777
SA3738,M,0,0,-0.400075296,-0.757960814
15174-15x,M,0,0,-0.400075296,-0.496790796
SA388,M,0,0,-0.400075296,-0.757960814
SA3060,M,0,0,-0.29726265,0.547889278
SA4738,M,0,0,-0.29726265,-0.235620777
SA4092,M,0,0,-0.29726265,0.025549241
SA3602,M,0,0,-0.29726265,-0.496790796
SA354,M,0,0,-0.29726265,-0.235620777
SA3117,M,0,0,-0.29726265,0.286719259
SAR117,M,0,0,-0.194450004,-0.496790796
SAR1348,M,0,0,-0.091637358,-0.235620777
5285,M,0,0,-0.091637358,-0.496790796
SA10782,M,0,0,-0.091637358,0.025549241
SAR402,M,0,0,-0.091637358,0.025549241
4875,M,0,0,-0.091637358,0.809059296
7165,M,0,0,-0.091637358,-0.496790796
15142-6x,M,0,0,-0.091637358,0.809059296
11513,M,0,0,0.113987933,0.025549241
15205-4x,M,0,0,0.113987933,0.025549241
SA549,M,0,0,0.525238517,1.853739369
15213-2x,M,0,0,0.525238517,0.809059296
SAR84,M,0,0,0.9364891,1.331399333
SA639,M,0,0,1.450552329,1.853739369
11682,M,0,0,1.450552329,1.331399333
SA92,M,0,0,1.656177621,2.376079406
Carlos,M,0,0,1.861802912,1.853739369
SA4659,M,0,0,1.861802912,1.331399333
15307-3x,M,0,0,2.067428204,2.114909388
SA185,M,0,0,2.067428204,0.547889278
SA5295,M,0,0,2.478678787,2.376079406
SA304,M,1,1,-0.605700587,-0.757960814
SA154,M,1,1,-0.605700587,-0.757960814
SAR118,M,1,1,-0.502887942,-0.496790796
SAR2061,M,1,1,-0.502887942,-0.496790796
SA5178,M,1,1,-0.400075296,-0.235620777
SA110,M,1,1,-0.091637358,0.025549241
10739-c,M,1,1,-0.091637358,0.547889278
SA3098,M,1,1,0.9364891,0.547889278
SA704,M,1,2,-0.400075296,-0.496790796
14808-6a,M,1,3,-0.091637358,0.025549241
SAR2713,M,2,2,-0.605700587,-0.757960814
667,M,2,2,-0.605700587,-0.757960814
9580,M,2,2,-0.502887942,-0.496790796
SA128,M,2,2,-0.29726265,0.025549241
Ringo,M,2,2,-0.091637358,0.286719259
SA298,M,2,3,-0.502887942,-0.496790796
15116-1a,M,2,4,-0.502887942,-0.496790796
4877,M,2,4,-0.400075296,-0.496790796
SA4481,M,3,3,0.422425871,1.070229314
SW0212,M,3,3,1.450552329,0.547889278
15144-14c,M,3,4,0.319613225,1.070229314
15248-3x,M,3,5,3.198367308,2.637249424
7251,M,4,5,5.563058162,4.987779589
8807-b,M,4,6,0.525238517,0.547889278
Grant,M,3,7,0.628051163,0.025549241
SAR1170,M,5,8,-0.605700587,-0.757960814
4589,M,6,10,0.422425871,0.547889278
SA4892,F,0,0,-0.805783604,-0.503010694
SA861,F,0,0,-0.805783604,-0.887254974
SA5296,F,0,0,-0.805783604,-0.887254974
15120-9t,F,0,0,-0.805783604,-0.887254974
SA9334,F,0,0,-0.805783604,-0.887254974
SA16378,F,0,0,-0.805783604,-0.887254974
SA15931,F,0,0,-0.805783604,-0.887254974
SA1538,F,0,0,-0.805783604,-0.503010694
Carol,F,0,0,-0.805783604,-0.887254974
9278,F,0,0,-0.805783604,-0.887254974
SA9445,F,0,0,-0.805783604,-0.887254974
SA12187,F,0,0,-0.805783604,-0.887254974
15311-2x,F,0,0,-0.504299943,-0.503010694
SA6979,F,0,0,-0.504299943,-0.503010694
SA1516,F,0,0,-0.504299943,-0.118766414
SA6832,F,0,0,-0.504299943,-0.887254974
SA4409,F,0,0,-0.504299943,-0.503010694
SA15839,F,0,0,-0.504299943,-0.118766414
8801-i,F,0,0,-0.504299943,-0.118766414
SA4805,F,0,0,-0.504299943,-0.503010694
SA3552,F,0,0,-0.504299943,-0.503010694
15154-28s,F,0,0,-0.504299943,-0.887254974
SA4475,F,0,0,-0.202816281,-0.118766414
15078-6x,F,0,0,-0.202816281,-0.503010694
SA865,F,0,0,0.09866738,0.649722146
SA10017,F,0,0,0.09866738,0.649722146
SA3652,F,0,0,0.09866738,-0.118766414
14795-2a,F,0,0,0.09866738,0.265477866
15266-11s,F,0,0,0.09866738,-0.118766414
15247-32x,F,0,0,0.400151041,1.802454986
SA4144,F,0,0,0.400151041,1.033966426
SA5125,F,0,0,0.701634703,0.265477866
15257-11s,F,0,0,1.003118364,0.649722146
14905-12c,F,0,0,1.304602026,1.033966426
SA589,F,0,0,1.304602026,-0.118766414
SA676,F,0,0,1.907569348,1.418210706
SA9061,F,1,1,-0.805783604,-0.887254974
SA4976,F,1,1,-0.805783604,-0.887254974
15175-4x,F,1,1,-0.805783604,-0.887254974
SAR2003,F,1,1,-0.805783604,-0.887254974
SA11214,F,1,1,-0.504299943,-0.503010694
15166-8s,F,1,1,-0.202816281,-0.118766414
SA4829,F,1,1,0.09866738,0.265477866
15307-1x,F,1,1,4.017954978,3.339432106
SA4756,F,1,2,0.701634703,1.033966426
3167,F,1,2,1.907569348,2.570943546
SA139,F,1,2,2.510536671,0.265477866
Misc-2y3401,F,1,3,0.701634703,1.033966426
15257-10d,F,2,2,-0.504299943,-0.503010694
SA637,F,2,3,0.701634703,-0.118766414
15247-34s,F,2,4,-0.504299943,-0.503010694
SA4245,F,2,4,0.09866738,0.265477866
15311-8x,F,2,5,-0.202816281,-0.118766414
14761-2a,F,3,3,0.09866738,2.186699266
SA994,F,3,5,1.907569348,2.186699266