Entity,Code,Year,Global precipitation anomaly
World,OWID_WRL,1901,-0.3756341
World,OWID_WRL,1902,-0.5858704
World,OWID_WRL,1903,0.13499615
World,OWID_WRL,1904,-0.0874449
World,OWID_WRL,1905,-0.1937442
World,OWID_WRL,1906,0.40586242
World,OWID_WRL,1907,-0.3437443
World,OWID_WRL,1908,-0.0205158
World,OWID_WRL,1909,0.25979936
World,OWID_WRL,1910,0.13184653
World,OWID_WRL,1911,-0.4567365
World,OWID_WRL,1912,-0.3268151
World,OWID_WRL,1913,-0.4579176
World,OWID_WRL,1914,-0.4803585
World,OWID_WRL,1915,-0.1063426
World,OWID_WRL,1916,0.6172799
World,OWID_WRL,1917,0.34247655
World,OWID_WRL,1918,-0.462642
World,OWID_WRL,1919,-0.5677601
World,OWID_WRL,1920,-0.2327206
World,OWID_WRL,1921,0.2330277
World,OWID_WRL,1922,-0.168941
World,OWID_WRL,1923,0.10783077
World,OWID_WRL,1924,-0.1248465
World,OWID_WRL,1925,-0.1909883
World,OWID_WRL,1926,0.30664977
World,OWID_WRL,1927,0.21176784
World,OWID_WRL,1928,-0.2957128
World,OWID_WRL,1929,-0.4260278
World,OWID_WRL,1930,-0.7024059
World,OWID_WRL,1931,0.09287013
World,OWID_WRL,1932,-0.1260276
World,OWID_WRL,1933,0.4015317
World,OWID_WRL,1934,0.17948435
World,OWID_WRL,1935,0.00783071
World,OWID_WRL,1936,-0.1429568
World,OWID_WRL,1937,-0.0429567
World,OWID_WRL,1938,-0.072878
World,OWID_WRL,1939,0.05192523
World,OWID_WRL,1940,-0.6740594
World,OWID_WRL,1941,-0.7618547
World,OWID_WRL,1942,-0.1067363
World,OWID_WRL,1943,-0.5004373
World,OWID_WRL,1944,-0.4965003
World,OWID_WRL,1945,-0.3142167
World,OWID_WRL,1946,-0.4256341
World,OWID_WRL,1947,0.10231895
World,OWID_WRL,1948,-0.2354765
World,OWID_WRL,1949,0.07003547
World,OWID_WRL,1950,0.70035076
World,OWID_WRL,1951,-0.5421696
World,OWID_WRL,1952,-0.3189411
World,OWID_WRL,1953,0.21885446
World,OWID_WRL,1954,0.5605869
World,OWID_WRL,1955,0.85704374
World,OWID_WRL,1956,1.1255479
World,OWID_WRL,1957,0.08420871
World,OWID_WRL,1958,-0.3209096
World,OWID_WRL,1959,0.21846075
World,OWID_WRL,1960,0.14365757
World,OWID_WRL,1961,0.6031066
World,OWID_WRL,1962,0.03027167
World,OWID_WRL,1963,-0.1567363
World,OWID_WRL,1964,-0.0417756
World,OWID_WRL,1965,-1.0665793
World,OWID_WRL,1966,0.14287016
World,OWID_WRL,1967,-0.0968938
World,OWID_WRL,1968,0.04995672
World,OWID_WRL,1969,-0.0961064
World,OWID_WRL,1970,-0.0705158
World,OWID_WRL,1971,0.03224018
World,OWID_WRL,1972,-0.7724847
World,OWID_WRL,1973,1.3444456
World,OWID_WRL,1974,1.1810597
World,OWID_WRL,1975,0.97476035
World,OWID_WRL,1976,-0.1240591
World,OWID_WRL,1977,0.57239795
World,OWID_WRL,1978,0.7090122
World,OWID_WRL,1979,0.0405079
World,OWID_WRL,1980,-0.2976813
World,OWID_WRL,1981,0.3964136
World,OWID_WRL,1982,-0.145319
World,OWID_WRL,1983,-0.2988624
World,OWID_WRL,1984,0.38105926
World,OWID_WRL,1985,-0.0965001
World,OWID_WRL,1986,-0.424453
World,OWID_WRL,1987,-1.3520125
World,OWID_WRL,1988,0.6294846
World,OWID_WRL,1989,0.41649234
World,OWID_WRL,1990,0.04562601
World,OWID_WRL,1991,-0.4693349
World,OWID_WRL,1992,-1.066973
World,OWID_WRL,1993,-0.0842953
World,OWID_WRL,1994,-0.0811457
World,OWID_WRL,1995,0.04838192
World,OWID_WRL,1996,0.49247664
World,OWID_WRL,1997,-0.1590985
World,OWID_WRL,1998,0.7676736
World,OWID_WRL,1999,0.96176827
World,OWID_WRL,2000,1.2035006
World,OWID_WRL,2001,0.09247643
World,OWID_WRL,2002,-0.5764216
World,OWID_WRL,2003,-0.2984687
World,OWID_WRL,2004,0.2393269
World,OWID_WRL,2005,-0.409886
World,OWID_WRL,2006,0.6672799
World,OWID_WRL,2007,0.48972073
World,OWID_WRL,2008,0.9771226
World,OWID_WRL,2009,-0.1134292
World,OWID_WRL,2010,1.3877528
World,OWID_WRL,2011,0.9657053
World,OWID_WRL,2012,0.28263402
World,OWID_WRL,2013,0.7428705
World,OWID_WRL,2014,0.12790953
World,OWID_WRL,2015,-0.8382327
World,OWID_WRL,2016,0.47987822
World,OWID_WRL,2017,0.921217
World,OWID_WRL,2018,0.52239794
World,OWID_WRL,2019,-0.3539805
World,OWID_WRL,2020,-0.2555553
World,OWID_WRL,2021,-0.0752402