"DayNoDual","count","tBDual"
1,37,0.00136986301369863
2,29,0.00410958904109589
3,25,0.00684931506849315
4,25,0.00958904109589041
5,26,0.0123287671232877
6,25,0.0150684931506849
7,34,0.0178082191780822
8,33,0.0205479452054795
9,25,0.0232876712328767
10,18,0.026027397260274
11,25,0.0287671232876712
12,25,0.0315068493150685
13,26,0.0342465753424658
14,23,0.036986301369863
15,21,0.0397260273972603
16,27,0.0424657534246575
17,23,0.0452054794520548
18,29,0.0479452054794521
19,19,0.0506849315068493
20,31,0.0534246575342466
21,17,0.0561643835616438
22,25,0.0589041095890411
23,22,0.0616438356164384
24,28,0.0643835616438356
25,16,0.0671232876712329
26,33,0.0698630136986301
27,23,0.0726027397260274
28,28,0.0753424657534247
29,19,0.0780821917808219
30,22,0.0808219178082192
31,23,0.0835616438356164
32,27,0.0863013698630137
33,30,0.089041095890411
34,25,0.0917808219178082
35,19,0.0945205479452055
36,22,0.0972602739726027
37,22,0.1
38,32,0.102739726027397
39,26,0.105479452054795
40,23,0.108219178082192
41,25,0.110958904109589
42,29,0.113698630136986
43,26,0.116438356164384
44,24,0.119178082191781
45,28,0.121917808219178
46,21,0.124657534246575
47,21,0.127397260273973
48,15,0.13013698630137
49,23,0.132876712328767
50,21,0.135616438356164
51,28,0.138356164383562
52,21,0.141095890410959
53,21,0.143835616438356
54,29,0.146575342465753
55,17,0.149315068493151
56,35,0.152054794520548
57,21,0.154794520547945
58,19,0.157534246575342
59,18,0.16027397260274
60,23,0.163013698630137
61,24,0.165753424657534
62,20,0.168493150684932
63,12,0.171232876712329
64,28,0.173972602739726
65,32,0.176712328767123
66,27,0.179452054794521
67,24,0.182191780821918
68,19,0.184931506849315
69,24,0.187671232876712
70,19,0.19041095890411
71,23,0.193150684931507
72,27,0.195890410958904
73,13,0.198630136986301
74,29,0.201369863013699
75,20,0.204109589041096
76,31,0.206849315068493
77,25,0.20958904109589
78,12,0.212328767123288
79,32,0.215068493150685
80,22,0.217808219178082
81,20,0.220547945205479
82,26,0.223287671232877
83,20,0.226027397260274
84,25,0.228767123287671
85,20,0.231506849315068
86,22,0.234246575342466
87,22,0.236986301369863
88,19,0.23972602739726
89,26,0.242465753424658
90,20,0.245205479452055
91,23,0.247945205479452
92,21,0.250684931506849
93,21,0.253424657534247
94,23,0.256164383561644
95,19,0.258904109589041
96,17,0.261643835616438
97,25,0.264383561643836
98,17,0.267123287671233
99,28,0.26986301369863
100,21,0.272602739726027
101,14,0.275342465753425
102,23,0.278082191780822
103,20,0.280821917808219
104,16,0.283561643835616
105,28,0.286301369863014
106,19,0.289041095890411
107,26,0.291780821917808
108,14,0.294520547945205
109,26,0.297260273972603
110,21,0.3
111,20,0.302739726027397
112,25,0.305479452054795
113,15,0.308219178082192
114,23,0.310958904109589
115,20,0.313698630136986
116,18,0.316438356164384
117,23,0.319178082191781
118,16,0.321917808219178
119,18,0.324657534246575
120,21,0.327397260273973
121,20,0.33013698630137
122,20,0.332876712328767
123,13,0.335616438356164
124,18,0.338356164383562
125,16,0.341095890410959
126,26,0.343835616438356
127,15,0.346575342465753
128,17,0.349315068493151
129,14,0.352054794520548
130,33,0.354794520547945
131,24,0.357534246575342
132,27,0.36027397260274
133,19,0.363013698630137
134,19,0.365753424657534
135,22,0.368493150684931
136,12,0.371232876712329
137,20,0.373972602739726
138,19,0.376712328767123
139,13,0.379452054794521
140,23,0.382191780821918
141,19,0.384931506849315
142,21,0.387671232876712
143,22,0.39041095890411
144,19,0.393150684931507
145,22,0.395890410958904
146,19,0.398630136986301
147,25,0.401369863013699
148,17,0.404109589041096
149,22,0.406849315068493
150,14,0.40958904109589
151,17,0.412328767123288
152,17,0.415068493150685
153,21,0.417808219178082
154,14,0.420547945205479
155,27,0.423287671232877
156,22,0.426027397260274
157,25,0.428767123287671
158,17,0.431506849315068
159,20,0.434246575342466
160,16,0.436986301369863
161,27,0.43972602739726
162,18,0.442465753424658
163,17,0.445205479452055
164,19,0.447945205479452
165,17,0.450684931506849
166,12,0.453424657534247
167,23,0.456164383561644
168,20,0.458904109589041
169,21,0.461643835616438
170,15,0.464383561643836
171,14,0.467123287671233
172,15,0.46986301369863
173,20,0.472602739726027
174,18,0.475342465753425
175,20,0.478082191780822
176,16,0.480821917808219
177,23,0.483561643835616
178,17,0.486301369863014
179,25,0.489041095890411
180,18,0.491780821917808
181,12,0.494520547945206
182,12,0.497260273972603
183,12,0.5
184,28,0.502739726027397
185,12,0.505479452054794
186,25,0.508219178082192
187,12,0.510958904109589
188,16,0.513698630136986
189,22,0.516438356164384
190,19,0.519178082191781
191,20,0.521917808219178
192,26,0.524657534246575
193,22,0.527397260273973
194,7,0.53013698630137
195,18,0.532876712328767
196,14,0.535616438356164
197,12,0.538356164383562
198,23,0.541095890410959
199,13,0.543835616438356
200,22,0.546575342465753
201,18,0.549315068493151
202,10,0.552054794520548
203,13,0.554794520547945
204,17,0.557534246575342
205,11,0.56027397260274
206,12,0.563013698630137
207,15,0.565753424657534
208,14,0.568493150684932
209,25,0.571232876712329
210,13,0.573972602739726
211,16,0.576712328767123
212,11,0.579452054794521
213,22,0.582191780821918
214,17,0.584931506849315
215,26,0.587671232876712
216,15,0.59041095890411
217,14,0.593150684931507
218,24,0.595890410958904
219,12,0.598630136986301
220,17,0.601369863013699
221,14,0.604109589041096
222,11,0.606849315068493
223,16,0.60958904109589
224,13,0.612328767123288
225,22,0.615068493150685
226,19,0.617808219178082
227,14,0.620547945205479
228,12,0.623287671232877
229,14,0.626027397260274
230,25,0.628767123287671
231,27,0.631506849315069
232,8,0.634246575342466
233,21,0.636986301369863
234,14,0.63972602739726
235,11,0.642465753424658
236,15,0.645205479452055
237,13,0.647945205479452
238,14,0.650684931506849
239,11,0.653424657534247
240,13,0.656164383561644
241,17,0.658904109589041
242,17,0.661643835616438
243,8,0.664383561643836
244,23,0.667123287671233
245,11,0.66986301369863
246,9,0.672602739726027
247,14,0.675342465753425
248,13,0.678082191780822
249,15,0.680821917808219
250,23,0.683561643835616
251,26,0.686301369863014
252,22,0.689041095890411
253,21,0.691780821917808
254,16,0.694520547945205
255,14,0.697260273972603
256,17,0.7
257,17,0.702739726027397
258,12,0.705479452054795
259,14,0.708219178082192
260,14,0.710958904109589
261,21,0.713698630136986
262,22,0.716438356164384
263,16,0.719178082191781
264,15,0.721917808219178
265,15,0.724657534246575
266,10,0.727397260273973
267,12,0.73013698630137
268,16,0.732876712328767
269,16,0.735616438356164
270,23,0.738356164383562
271,17,0.741095890410959
272,21,0.743835616438356
273,21,0.746575342465753
274,16,0.749315068493151
275,8,0.752054794520548
276,13,0.754794520547945
277,9,0.757534246575343
278,17,0.76027397260274
279,11,0.763013698630137
280,13,0.765753424657534
281,14,0.768493150684932
282,12,0.771232876712329
283,13,0.773972602739726
284,15,0.776712328767123
285,10,0.779452054794521
286,11,0.782191780821918
287,12,0.784931506849315
288,19,0.787671232876712
289,5,0.79041095890411
290,17,0.793150684931507
291,8,0.795890410958904
292,7,0.798630136986301
293,7,0.801369863013699
294,12,0.804109589041096
295,13,0.806849315068493
296,9,0.80958904109589
297,19,0.812328767123288
298,13,0.815068493150685
299,12,0.817808219178082
300,12,0.820547945205479
301,18,0.823287671232877
302,10,0.826027397260274
303,7,0.828767123287671
304,12,0.831506849315068
305,14,0.834246575342466
306,12,0.836986301369863
307,16,0.83972602739726
308,18,0.842465753424658
309,10,0.845205479452055
310,16,0.847945205479452
311,16,0.850684931506849
312,10,0.853424657534247
313,9,0.856164383561644
314,15,0.858904109589041
315,16,0.861643835616438
316,20,0.864383561643836
317,14,0.867123287671233
318,17,0.86986301369863
319,16,0.872602739726027
320,12,0.875342465753425
321,11,0.878082191780822
322,12,0.880821917808219
323,11,0.883561643835616
324,14,0.886301369863014
325,16,0.889041095890411
326,16,0.891780821917808
327,10,0.894520547945206
328,13,0.897260273972603
329,13,0.9
330,13,0.902739726027397
331,11,0.905479452054795
332,14,0.908219178082192
333,12,0.910958904109589
334,12,0.913698630136986
335,13,0.916438356164384
336,16,0.919178082191781
337,10,0.921917808219178
338,8,0.924657534246575
339,15,0.927397260273973
340,11,0.93013698630137
341,9,0.932876712328767
342,12,0.935616438356164
343,8,0.938356164383562
344,16,0.941095890410959
345,12,0.943835616438356
346,19,0.946575342465753
347,11,0.949315068493151
348,12,0.952054794520548
349,15,0.954794520547945
350,10,0.957534246575342
351,9,0.96027397260274
352,18,0.963013698630137
353,24,0.965753424657534
354,13,0.968493150684931
355,10,0.971232876712329
356,12,0.973972602739726
357,15,0.976712328767123
358,10,0.979452054794521
359,10,0.982191780821918
360,9,0.984931506849315
361,12,0.987671232876712
362,10,0.99041095890411
363,8,0.993150684931507
364,14,0.995890410958904
365,10,0.998630136986301
